obfuscated, meaningful
file:///home/jessykate/Dropbox/Public/mturk-images/amRQBaaVRcU.jpg, austin-burbs-wealthy
file:///home/jessykate/Dropbox/Public/mturk-images/awGWQosaStK.jpg, longisland-wealthy-urban
file:///home/jessykate/Dropbox/Public/mturk-images/EAUJyicGImA.jpg, anacostia-poor
file:///home/jessykate/Dropbox/Public/mturk-images/hlwhcflkOEd.jpg, longisland-middle-urban
file:///home/jessykate/Dropbox/Public/mturk-images/ITcWdDzdGUN.jpg, harlempark-poor
file:///home/jessykate/Dropbox/Public/mturk-images/kjnEPHlfxeh.jpg, longisland-middle-urban-2
file:///home/jessykate/Dropbox/Public/mturk-images/lniDEZnEbRc.jpg, cupertino-wealthy
file:///home/jessykate/Dropbox/Public/mturk-images/PToEDqQQRQj.jpg, harlempark-poor-2
file:///home/jessykate/Dropbox/Public/mturk-images/qbeRRklJoaL.jpg, austin-burbs-wealthy-2
file:///home/jessykate/Dropbox/Public/mturk-images/RyLSzAjOTcX.jpg, kenilworth-top-wealthy
file:///home/jessykate/Dropbox/Public/mturk-images/yNmdjPKYfPZ.jpg, anacostia-poor-2
file:///home/jessykate/Dropbox/Public/mturk-images/yvSGuTAHdns.jpg, kenilworth-top-wealthy-2

c("austin-burbs-wealthy", "longisland-wealthy-urban", "anacostia-poor", "longisland-middle-urban", "harlempark-poor", "longisland-middle-urban-2", "cupertino-wealthy", "harlempark-poor-2", "austin-burbs-wealthy-2", "kenilworth-top-wealthy", "anacostia-poor-2", "kenilworth-top-wealthy-2")
